JobID,JobName,Partition,State,AllocCPUS,ReqCPUS,ReqMem,MaxRSS,AveRSS,MaxVMSize,AveVMSize,MaxPages,AvePages,Elapsed,TotalCPU,CPUTime,NodeList,Submit,Start,End
5970052_1,FSL,,COMPLETED,6,6,20000M,17889.23M,17889.23M,0,0,0.00M,0.00M,02:03:47,08:48:03,12:22:42,artemis-a40-02,2026-03-12T09:54:39,026-03-12T09:54:39,2026-03-12T11:58:26
7231691_3,FreeSurfer,,COMPLETED,6,5,30000M,2883772K,2883772K,0,0,0.00M,0.00M,03:51:46,03:46:42,23:10:36,artemis-a40-03,2026-04-21T10:21:10,2026-04-21T10:21:11,2026-04-21T14:12:57
